Date;Price;Open;High;Low;Vol.;Change %
01/02/2012;42.745;42.284;42.943;41.856;1.46M;1.09%
12/30/2011;42.284;42.712;42.877;41.724;1.60M;0.16%
12/29/2011;42.218;43.338;43.338;41.757;1.89M;-1.54%
12/28/2011;42.877;43.437;43.799;42.646;2.06M;-0.99%
12/27/2011;43.305;45.577;45.775;43.173;2.10M;-4.78%
12/23/2011;45.479;47.882;47.882;45.017;2.77M;-3.43%
12/22/2011;47.092;47.718;47.915;46.565;2.30M;1.06%
12/21/2011;46.598;49.397;50.221;46.137;4.28M;-4.39%
12/20/2011;48.739;46.368;48.739;46.236;2.60M;6.32%
12/19/2011;45.841;44.886;47.784;44.787;2.56M;2.20%
12/16/2011;44.853;47.092;47.553;44.853;4.05M;-3.95%
12/15/2011;46.697;46.862;47.784;46.269;2.96M;1.14%
12/14/2011;46.170;48.113;49.035;46.170;3.12M;-3.31%
12/13/2011;47.751;50.089;50.912;47.454;3.00M;-3.78%
12/12/2011;49.628;51.933;53.086;49.628;2.70M;-5.81%
12/09/2011;52.690;49.035;52.690;48.343;4.00M;7.10%
12/08/2011;49.200;53.678;54.106;48.805;3.26M;-7.21%
12/07/2011;53.020;55.457;56.115;51.933;3.62M;-2.42%
12/06/2011;54.337;54.337;55.885;53.678;3.08M;-1.32%
12/05/2011;55.062;53.942;55.325;53.678;3.80M;5.42%
12/02/2011;52.229;51.439;52.822;51.307;4.10M;3.05%
12/01/2011;50.682;51.176;51.999;50.451;3.28M;-0.45%
11/30/2011;50.912;48.936;53.185;48.640;5.28M;3.07%
11/29/2011;49.397;49.825;51.011;48.508;3.72M;-0.99%
11/28/2011;49.891;47.158;50.254;46.895;3.56M;8.14%
11/25/2011;46.137;45.972;46.697;44.491;2.36M;0.86%
11/24/2011;45.742;45.050;47.191;44.721;2.73M;2.81%
11/23/2011;44.491;45.445;47.158;44.491;2.67M;-3.57%
11/22/2011;46.137;49.002;49.364;45.972;2.57M;-4.17%
11/21/2011;48.146;49.760;50.188;48.080;2.21M;-2.99%
11/18/2011;49.628;48.508;50.649;48.278;2.46M;1.14%
11/17/2011;49.068;48.574;50.484;48.541;2.69M;-0.67%
11/16/2011;49.397;47.586;50.912;47.487;4.43M;1.42%
11/15/2011;48.706;49.990;50.319;46.104;5.63M;-4.46%
11/14/2011;50.978;57.301;57.301;49.101;5.70M;-6.18%
11/11/2011;54.337;52.427;54.798;51.768;4.53M;5.43%
11/10/2011;51.538;48.739;53.185;48.739;5.45M;3.92%
11/09/2011;49.595;54.666;54.930;48.805;5.82M;-6.81%
11/08/2011;53.217;52.361;54.963;52.361;4.50M;2.08%
11/07/2011;52.131;50.649;54.337;49.200;5.38M;1.87%
11/04/2011;51.176;55.325;57.070;50.286;5.93M;-6.55%
11/03/2011;54.765;49.924;56.082;49.727;6.28M;4.33%
11/02/2011;52.493;50.715;53.777;48.805;5.29M;7.34%
11/01/2011;48.903;54.008;54.008;48.739;4.87M;-12.44%
10/31/2011;55.852;58.618;58.882;55.819;3.29M;-5.67%
10/28/2011;59.211;62.570;62.636;58.980;5.45M;-4.36%
10/27/2011;61.911;61.911;62.735;60.331;6.63M;7.49%
10/26/2011;57.597;57.630;59.935;57.037;3.81M;0.92%
10/25/2011;57.070;58.915;59.211;56.017;3.83M;-3.40%
10/24/2011;59.079;60.594;61.681;57.597;4.34M;-0.55%
10/21/2011;59.409;57.301;60.561;57.169;5.50M;6.62%
10/20/2011;55.720;61.813;62.866;55.589;6.43M;-12.01%
10/19/2011;63.327;59.935;63.690;59.013;4.99M;5.20%
10/18/2011;60.199;57.959;60.660;57.005;4.39M;2.70%
10/17/2011;58.618;64.151;65.007;57.433;6.04M;-6.12%
10/14/2011;62.438;61.747;65.698;58.849;8.21M;2.32%
10/13/2011;61.022;69.024;70.144;61.022;7.59M;-12.10%
10/12/2011;69.420;66.785;69.881;65.534;6.54M;2.33%
10/11/2011;67.839;63.229;69.486;63.031;10.89M;6.74%
10/10/2011;63.558;57.828;63.558;57.564;5.85M;12.21%
10/07/2011;56.642;54.535;56.774;54.139;5.67M;4.18%
10/06/2011;54.370;53.020;54.831;52.032;5.40M;3.84%
10/05/2011;52.361;49.825;52.361;48.838;3.59M;7.07%
10/04/2011;48.903;50.122;51.011;47.718;3.88M;-4.50%
10/03/2011;51.209;50.715;52.295;50.451;3.82M;-3.12%
09/30/2011;52.855;53.349;55.029;52.164;4.86M;-1.71%
09/29/2011;53.777;50.418;54.205;50.221;6.18M;6.04%
09/28/2011;50.715;50.056;52.229;49.661;4.72M;-0.19%
09/27/2011;50.813;48.936;50.945;48.409;6.55M;6.86%
09/26/2011;47.553;43.832;48.969;43.568;8.26M;6.33%
09/23/2011;44.721;43.799;45.248;41.889;6.18M;4.38%
09/22/2011;42.844;44.128;45.445;42.844;6.25M;-6.27%
09/21/2011;45.709;47.553;48.047;45.709;4.37M;-2.87%
09/20/2011;47.059;46.104;48.640;45.511;4.59M;0.49%
09/19/2011;46.829;46.763;49.068;46.335;3.78M;-1.32%
09/16/2011;47.454;52.361;52.690;47.454;8.51M;-7.03%
09/15/2011;51.044;47.981;52.756;47.553;5.98M;6.90%
09/14/2011;47.751;47.421;49.035;46.433;5.97M;-1.63%
09/13/2011;48.541;47.421;48.739;44.194;6.61M;7.43%
09/12/2011;45.182;49.332;49.332;45.182;8.05M;-10.91%
09/09/2011;50.715;54.666;54.864;50.715;3.93M;-8.22%
09/08/2011;55.259;54.963;56.972;54.172;3.30M;0.54%
09/07/2011;54.963;54.666;54.963;53.349;3.48M;4.97%
09/06/2011;52.361;54.337;56.412;50.286;6.28M;-4.45%
09/05/2011;54.798;57.597;58.124;54.436;3.66M;-7.30%
09/02/2011;59.112;61.352;61.878;58.947;3.54M;-5.33%
09/01/2011;62.438;61.911;63.327;61.055;2.85M;0.58%
08/31/2011;62.076;60.495;62.438;59.376;3.16M;2.72%
08/30/2011;60.429;62.372;62.372;59.672;2.97M;-1.24%
08/29/2011;61.187;61.154;62.076;60.265;2.35M;2.31%
08/26/2011;59.804;59.870;61.088;58.355;3.96M;0.17%
08/25/2011;59.705;59.606;63.130;59.013;5.70M;1.68%
08/24/2011;58.717;58.421;59.672;57.597;3.47M;1.83%
08/23/2011;57.663;60.792;61.154;57.367;3.96M;-2.61%
08/22/2011;59.211;59.277;61.813;56.807;4.20M;-0.11%
08/19/2011;59.277;62.702;62.800;59.277;6.26M;-5.81%
08/18/2011;62.932;66.851;67.378;62.570;5.25M;-7.41%
08/17/2011;67.971;68.168;69.156;67.510;3.99M;-1.62%
08/16/2011;69.090;69.947;70.671;67.378;4.72M;-0.66%
08/12/2011;69.551;66.390;70.078;63.722;6.54M;5.60%
08/11/2011;65.863;66.127;67.180;59.112;11.37M;3.41%
08/10/2011;63.690;72.713;73.174;63.690;11.75M;-9.37%
08/09/2011;70.276;71.132;74.030;68.037;13.07M;0.00%
08/08/2011;70.276;70.605;75.940;68.959;11.22M;0.38%
08/05/2011;70.012;66.061;74.557;63.953;10.86M;2.21%
08/04/2011;68.498;77.718;78.114;68.498;8.42M;-9.33%
08/03/2011;75.545;73.042;78.706;70.803;10.33M;1.77%
08/02/2011;74.228;77.587;79.497;74.228;8.32M;-5.77%
08/01/2011;78.772;85.820;86.478;78.772;9.53M;-4.32%
07/29/2011;82.329;81.275;83.185;79.694;6.12M;-0.71%
07/28/2011;82.922;79.036;83.580;77.916;7.99M;2.86%
07/27/2011;80.616;82.658;82.724;79.497;6.93M;-4.30%
07/26/2011;84.239;81.670;84.766;81.012;7.98M;4.41%
07/25/2011;80.682;83.580;85.424;80.221;7.91M;-7.06%
07/22/2011;86.808;93.394;95.502;86.544;10.35M;-4.56%
07/21/2011;90.957;82.922;90.957;79.629;13.28M;9.95%
07/20/2011;82.724;79.431;82.922;78.443;7.30M;5.90%
07/19/2011;78.114;75.545;78.641;75.084;7.20M;4.68%
07/18/2011;74.623;79.431;80.485;74.162;7.37M;-6.36%
07/15/2011;79.694;80.221;82.856;79.102;5.73M;-2.10%
07/14/2011;81.407;80.155;84.041;79.694;7.49M;-0.32%
07/13/2011;81.670;80.485;84.107;78.114;9.66M;1.47%
07/12/2011;80.485;74.294;81.012;69.947;12.00M;5.89%
07/11/2011;76.006;80.287;83.910;72.647;9.87M;-6.33%
07/08/2011;81.143;88.915;89.442;80.353;10.89M;-7.85%
07/07/2011;88.059;92.999;93.460;88.059;8.94M;-4.23%
07/06/2011;91.945;97.741;98.202;91.286;7.89M;-7.06%
07/05/2011;98.926;99.585;100.507;98.334;3.42M;-0.86%
07/04/2011;99.783;101.034;101.166;99.058;2.59M;-1.43%
07/01/2011;101.232;96.160;101.297;95.831;5.85M;5.27%
06/30/2011;96.160;93.855;96.160;92.801;4.16M;2.74%
06/29/2011;93.591;93.065;96.226;92.801;5.40M;1.43%
06/28/2011;92.274;90.693;93.460;87.730;5.09M;2.26%
06/27/2011;90.232;89.574;91.484;86.676;4.97M;0.51%
06/24/2011;89.771;96.819;97.016;86.544;8.17M;-5.54%
